"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Guinea-Bissau","12.5","14.1","3.2","7.3","17.9","12.5","4.6","9.1","7.4","3.7","3.2","2.6","2.5","2.2","1.0","2.5"
"Guyana","14.7","17.7","17.4","26.1","32.1","27.9","29.4","21.4","14.6","12.1","3.2","2.3","2.1","1.8","1.9","1.7"
"Haiti","26.2","29.0","27.8","48.0","51.7","42.9","32.0","25.0","21.6","12.0","9.0","9.1","6.0","7.1","9.4","10.4"
"Honduras","12.4","12.7","10.6","10.0","8.6","9.8","10.1","8.7","6.0","3.2","5.5","7.2","6.9","3.3","1.9","2.3"
"Hungary","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","No data","No data","No data"
"Iceland","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"India","0.6","0.4","0.2","0.5","0.4","0.4","0.4","0.7","0.5","0.4","0.4","0.6","0.3","0.5","0.5","0.5"
"Indonesia","0.7","1.1","1.2","1.0","1.1","1.2","1.0","0.7","0.9","0.6","0.5","0.5","0.3","0.0","No data","No data"
"Iran (Islamic Republic of)","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Iraq","0.4","1.4","1.4","1.3","0.0","0.0","0.0","0.0","3.7","0.0","0.0","0.0","0.0","No data","No data","No data"
"Ireland","0.0","0.0","0.0","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Israel","No data","No data","35.4","33.3","32.3","28.5","26.3","29.5","23.1","22.7","No data","No data","No data","No data","No data","No data"
"Italy","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Jamaica","6.6","10.6","7.4","8.0","9.8","8.2","6.8","6.2","7.1","5.2","5.0","3.2","3.7","4.3","4.9","4.7"
"Japan","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jordan","17.2","17.7","18.6","19.0","11.9","13.9","12.8","4.1","7.5","10.2","5.7","26.5","6.3","3.7","4.6","4.1"
"Kazakhstan","1.4","1.8","3.1","2.9","3.0","3.2","1.3","0.6","0.9","0.7","0.6","0.8","0.5","No data","No data","No data"
"Kenya","13.1","15.0","16.1","13.9","10.7","19.4","11.2","8.9","7.7","5.0","3.9","2.6","1.9","1.0","1.0","1.0"
"Kiribati","0.0","22.4","23.3","11.1","2.3","7.2","59.6","46.4","26.8","19.9","1.3","1.1","1.5","0.0","0.0","0.0"
"Kuwait","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyrgyzstan","6.4","6.1","5.7","7.5","4.2","5.9","7.4","5.1","6.4","4.7","2.3","4.3","2.2","0.0","0.0","0.0"
"Lao People's Democratic Republic","9.0","7.8","8.4","8.9","7.6","5.7","6.6","5.4","5.9","5.0","3.4","3.3","2.0","1.6","1.4","3.1"
"Latvia","No data","No data","No data","No data","No data","0.1","5.1","1.3","0.6","No data","2.0","2.5","No data","No data","No data","No data"
