"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Eswatini","45.5","50.3","53.6","58.9","68.4","68.8","54.7","55.8","58.2","55.8","55.6","48.4","37.7","25.2","27.7","31.8"
"Ethiopia","14.0","13.2","10.0","10.1","8.2","8.1","6.5","5.5","4.3","3.2","2.4","2.3","2.3","2.2","2.2","2.3"
"Fiji","59.9","63.9","60.3","55.7","51.9","40.3","40.2","34.8","36.5","29.1","22.0","21.5","16.6","12.7","11.9","11.8"
"Finland","904.7","1052.0","1035.0","961.3","1017.3","941.7","937.0","972.9","854.9","742.8","678.8","642.2","560.3","487.4","442.5","432.2"
"France","848.5","1013.8","1006.6","968.4","1034.4","949.0","973.9","1004.4","889.3","785.4","761.7","732.4","636.6",,,
"Gabon","79.7","96.0","97.5","90.6","101.2","76.5","140.9","144.5","130.4","113.5","108.5","105.7","96.5","80.9","75.8","70.0"
"Gambia","8.2","7.7","7.6","9.9","10.9","10.8","11.5","13.1","9.8","7.6","6.6","5.5","5.6","9.1","10.1","13.2"
"Georgia","164.8","244.0","245.9","249.1","229.7","197.3","181.5","183.6","139.2","107.8","95.9","75.7","57.5","46.0","39.5","37.3"
"Germany","713.1","832.7","827.2","803.1","841.0","777.3","777.8","1124.8","1012.2","892.6","855.9","822.3","690.7","545.5","488.6","486.1"
"Ghana","31.4","38.4","47.7","38.9","42.2","42.6","35.9","42.7","36.4","31.1","28.6","23.3","20.7","17.4","15.6","15.1"
"Greece","591.8","698.6","679.4","657.6","796.8","796.1","886.1","1252.7",,,,,,,,
"Grenada","262.5","259.8","254.6","242.7","237.1","235.7","229.3","238.4","212.4","182.7","168.9","147.9","163.9","166.7","161.3","162.6"
"Guatemala","147.9","142.1","133.7","134.2","128.6","117.5","109.8","119.6","111.2","103.4","95.1","84.7","79.3","76.7","70.8","54.1"
"Guinea","14.6","15.5","15.9","14.5","14.1","12.8","12.5","12.1","12.5","8.0","7.9","9.9","9.0","9.1","8.6","9.2"
"Guinea-Bissau","14.7","16.9","17.0","16.0","15.9","15.5","15.7","16.9","13.2","11.8","11.2","10.2","8.5","7.8","7.9","8.1"
"Guyana","74.8","81.1","83.4","77.7","70.8","60.0","50.8","43.7","37.4","28.7","14.6","11.2","10.9","7.4","7.4","7.3"
"Haiti","21.7","24.0","23.6","22.8","21.3","21.8","21.6","20.9","17.0","14.2","13.0","12.4","9.9","11.9","13.6","14.8"
"Honduras","95.6","94.8","96.6","100.0","90.1","82.5","77.7","82.3","68.1","59.9","51.6","45.2","41.6","38.6","37.2","33.4"
"Hungary","297.3","331.0","330.4","331.3","356.0","323.4","298.8","347.4","312.0","261.0","262.4","236.4","201.2",,,
"Iceland","810.5","873.9","801.2","748.3","773.0","718.6","658.9","837.9","1042.9","901.4","968.7","840.9","721.8","0.0","0.0","0.0"
"India","46.6","43.2","43.1","34.9","34.2","33.0","28.2","28.7","27.9","23.1","21.7","20.1","17.6","16.1","15.7","14.2"
"Indonesia","68.4","71.6","75.2","80.4","82.3","73.2","40.3","38.6","35.6","30.4","24.2","16.7","16.3","12.7","10.3","10.6"
"Iran (Islamic Republic of)","170.6","189.9","254.5","341.1","349.6","298.2","232.8","188.2","147.9","115.3","108.7","89.3","69.9","63.5","57.8","50.0"
"Iraq","118.2","116.0","114.0","110.5","41.1","38.0","36.6","28.0","29.8","19.0","16.2","15.6","15.4",,,
"Ireland","1427.7","1693.4","1638.3",,,,,,,,,,,,,
"Israel",,,"937.5","853.9","869.8","794.5","755.7","793.1","678.2","567.4",,,,,,
"Italy","678.6","776.9","765.1","746.0","778.7","692.6","721.2","779.1","695.3","629.7","602.5","608.4","532.3","439.3","402.3","416.0"
"Jamaica","115.2","116.9","122.7","119.8","119.1","104.6","94.5","119.1","104.0","79.1","81.7","74.3","74.8","70.4","93.7","82.8"
"Japan",,"651.1","682.5","837.5","827.1","733.8","689.5","605.1","519.9","542.0","542.9","567.3","529.4","462.8","472.0","536.3"
"Jordan","93.0","89.4","94.2","91.1","91.5","88.8","96.4","112.9","91.8","89.4","88.6","86.4","85.7","88.3","88.3","83.7"
"Kazakhstan","149.6","173.3","175.2","156.3","123.7","120.4","106.3","116.0","92.7","73.3","56.9","46.5","34.0","27.4","22.2","24.8"
"Kenya","33.8","33.9","29.6","30.7","26.7","25.0","25.5","24.6","21.5","17.1","13.0","11.6","11.3","12.1","12.5","12.3"
"Kiribati","4.7","5.3","5.4","6.1","5.5","4.8","4.3","4.8","3.5","3.1","3.6","3.0","2.8","2.4","2.0","2.3"
"Kuwait","185.8","193.2","193.0","197.8","174.9","162.9","187.4","234.2","208.0","182.7","170.0","150.6","140.8","128.9","111.3","111.3"
"Kyrgyzstan","44.4","53.7","49.0","43.4","34.8","26.5","23.4","31.0","21.8","18.0","15.4","12.7","11.4","7.6","7.0","6.3"
"Lao People's Democratic Republic","25.3","24.8","22.6","17.1","14.7","21.2","17.6","15.6","14.3","15.7","14.6","13.5","11.3","7.8","8.3","6.6"
"Latvia","333.2","491.6","460.3","423.9","392.3","387.3","422.1","517.6","479.3","305.5","278.4","245.2","202.0","171.3","150.2","127.4"
"Lebanon","310.3","311.1","336.6","351.2","395.4","388.5","355.9","329.8","300.8","273.1","248.7","271.7","299.6","331.8","366.1","399.2"
"Lesotho","15.3","17.5","18.2","21.2","23.5","23.3","17.6","18.3","19.0","17.3","16.8","15.6","13.3","10.6","11.8","14.2"
"Liberia","15.0","15.7","14.6","14.4","14.1","12.1","11.2","11.7","9.9","6.7","7.6","6.8","2.0","2.3","2.5","3.7"
"Libya",,,,,"114.6","120.2","110.7","103.7","92.2","81.4","75.0","69.1","64.1","59.9","115.7","125.5"
"Lithuania","312.4","337.6","323.4","292.6","267.4","227.2","237.9","269.2","203.4","173.5","145.6","122.8","82.2","65.4","59.0","56.1"
"Luxembourg","1080.1","1273.9","1266.8","1156.3","1188.3","1101.2","1086.0","1009.5","1019.0","1043.2","981.2","925.3","786.6","617.0","536.1","516.9"
"Madagascar","5.9","6.9","7.5","7.0","8.4","9.6","9.4","9.7","8.3","6.6","6.4","5.7","7.5","6.2","6.1","5.7"
"Malawi","6.0","4.1","3.6","4.2","5.3","5.1","6.9","6.6","5.2","3.7","2.2","2.0","2.3","1.9","0.9","1.0"
"Malaysia","184.7","201.6","188.8","184.1","172.9","145.2","116.6","126.2","115.9","99.2","87.4","78.5","69.4","58.9","54.1","53.2"
"Maldives","170.0","217.3","221.6","229.6","266.2","272.6","256.9","280.7","244.8","216.0","198.6","196.9","144.6","142.3","145.5","86.2"
"Mali","19.9","22.9","24.2","21.8","23.3","21.9","22.8","22.3","18.9","15.8","14.2","12.9","12.2","10.4","9.5","10.2"
"Malta","906.3","959.1","691.1","653.9","696.9","614.9","588.5","617.9","530.7","466.9","428.1","371.4","325.8","246.6","211.1","176.2"
"Marshall Islands","98.9","98.0","97.2","96.7","96.1","91.9","85.7","86.4","81.4","75.9","72.8","69.2","64.8","62.5","57.8","56.2"
"Mauritania","28.0","29.4","27.7","27.4","28.0","26.2","26.8","29.0","25.2","23.0","21.8","20.9","19.1","17.3","17.3","17.3"
"Mauritius","260.5","284.1","248.2","212.6","217.9","198.1","187.2","205.3","136.8","115.1","102.3","86.6","76.9","64.0","55.2","55.3"
"Mexico","255.8","286.1","291.9","281.1","275.1","276.7","254.7","301.0","304.9","286.5","272.7","246.1","234.8",,,
"Micronesia (Federated States of)","10.8","10.8","11.2","12.3","13.0","13.2","13.7","13.3","13.5","13.9","14.3","12.7","11.6","10.5","10.0","8.9"
"Monaco","635.1","735.8","701.6","636.1","666.2","625.6","634.7","676.3","593.0","515.9","498.7","488.2","423.6","310.7","285.8","281.8"
"Mongolia","65.5","64.8","70.0","56.4","46.5","30.0","19.0","22.9","17.7","14.7","13.4","9.8","7.5","7.7","7.1","6.5"
"Montenegro","123.8","143.2","140.7","131.7","144.4","132.3","136.2","161.5","127.5","82.4","73.2","64.8","54.1","44.4","37.2","29.4"
"Morocco","89.0","99.7","98.3","96.5","103.1","100.6","96.3","92.4","80.7","69.0","71.8","67.8","57.5","45.7","40.9","40.2"
"Mozambique","1.9","2.4","2.5","2.5","2.2","1.8","2.2","2.4","2.2","2.2","2.2","2.2","1.9","1.7","1.4","1.7"
"Myanmar","43.7","46.3","15.3","16.1","15.8","12.2","11.5","9.0","6.1","4.7","4.7","4.1","4.1","4.4","3.0","2.9"
"Namibia","117.4","132.7","159.8","200.8","192.5","163.6","115.3","92.7","114.8","164.9","155.1","115.8","93.6","58.5","61.9","69.0"
"Nauru","78.1","74.3","65.0","51.3","46.7","40.5","39.8","34.9","24.1","24.5","24.8","26.5","22.8","19.5","18.2","20.5"
"Nepal","31.7","29.3","26.3","23.1","24.5","20.4","13.5","12.8","11.8","7.0","8.3","7.8","6.9","6.3","6.1","5.4"
