"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"New Zealand",,,"3166.5","3064.2","2932.7","2610.7","2189.4","2295.6","2224.1","1843.1","1828.7","1579.6",,"970.8","802.0","822.2"
"Nicaragua","92.1","83.9","72.8","70.8","62.2","45.3","51.4","47.9","38.9","32.0","30.7","26.7","19.4","24.5","26.3","25.7"
"Niger","5.4","6.9","7.5","6.0","6.8","5.7","7.2","7.6","5.9","6.9","6.2","3.4","2.9","3.2","2.9","2.2"
"Nigeria","16.1","14.4","14.7","15.0","12.2","10.4","12.5","18.3","15.3","11.4","8.3","7.9","4.6","2.4","3.1","2.9"
"Niue","332.2","408.4","404.8","386.4","854.0","344.8","297.8","392.8","295.1","234.1","246.0","227.3","496.3","403.3","344.7","299.0"
"Norway","6374.2","7776.9","7857.2","7602.6","7514.0","6655.5","6165.5","6535.6","5771.7","4911.3","4638.1","4231.7","3852.8",,,
"Oman","561.7","648.1","516.9","465.2","438.0","437.6","386.2","350.2","311.1","268.7","263.7","246.9","238.5","229.1","214.4","215.4"
"Pakistan","10.4","9.4","8.5","8.2","7.4","5.8","5.5","5.2","6.4","4.2","4.5","4.5","3.7","6.0","5.0","5.6"
"Palau","625.7","619.9","590.3","491.5","391.4","367.0","361.4","299.1","331.4","347.0","324.6","347.7","310.7","298.3","324.6","359.0"
"Panama","566.9","526.8","472.9","369.0","343.9","333.3","309.5","299.6","263.4","228.6","190.9","216.8","187.9","192.6","187.1","192.7"
"Papua New Guinea","54.9","72.8","73.3","46.8","37.0","26.1","26.0","26.0","23.5","21.0","18.7","17.3","13.0","13.2","13.2","15.8"
"Paraguay","172.0","194.7","157.4","157.4","131.9","93.2","77.3","65.8","51.4","39.3","28.6","26.2","22.0","18.4","30.1","37.9"
"Peru","199.3","204.0","183.9","163.6","139.1","124.5","105.2","91.3","78.0","73.5","68.4","67.1","63.1","59.4","52.7","47.2"
"Philippines","39.8","33.1","32.3","29.7","26.1","29.3","24.4","23.3","20.5","17.6","15.4","12.2","11.7","10.1","11.5","14.6"
"Poland","556.8","632.5","620.5",,,,,,,,,,,,,
"Portugal","1140.1","1313.0","1311.3","1258.0","1494.5","1544.0","1593.8","1587.9","1420.4","1253.1","1264.0","1192.6","998.2","802.2","700.2","681.5"
"Qatar","1733.5","1825.4","1543.2","1225.4","1011.3","893.0","938.4","991.5","988.5","993.6","990.9","964.1","905.0","463.5","414.8","358.5"
"Republic of Korea","1135.1","1122.4","1009.2","927.8","908.5","832.2","673.0","678.1","745.0","652.2","526.2","422.9","376.1","319.7","296.6","255.4"
"Republic of Moldova","84.9","113.9","108.2","108.5","100.3","90.9","88.9","89.5","69.4","49.3","41.8","38.2","18.0","16.2","11.7","10.5"
"Romania","344.0","396.6","392.0","308.2","320.4","377.3","353.6","424.2","339.2","231.1","204.5","141.8","121.3","79.4","63.9","56.3"
"Russian Federation","319.9","458.6","506.0","484.2","429.0","348.3","320.7","381.9","286.6","217.8","166.3","123.0","95.7","82.1","68.6","56.6"
"Rwanda","12.1","18.3","12.5","13.7","14.7","9.9","9.1","8.6","7.0","5.3","6.3","5.3","5.7","2.6","2.4","2.5"
"Saint Kitts and Nevis","340.6","336.2","286.1","285.6","307.0","304.8","308.0","304.1","288.5","290.9","249.3","232.1","207.0","198.0","190.4","185.9"
"Saint Lucia","202.0","162.2","136.2","106.0","160.7","147.3","146.4","138.0","126.5","121.9","115.7","112.0","106.5","105.3","107.0","104.1"
"Saint Vincent and the Grenadines","198.7","209.1","219.0","212.7","193.0","200.4","188.5","187.3","168.6","152.4","149.6","145.3","143.6","137.0","116.6","112.4"
"Samoa","176.3","182.6","166.5","160.5","149.8","145.0","138.8","124.3","105.8","97.5","86.4","72.6","57.8","57.5","47.8","52.6"
"San Marino","2622.7","3145.2","3280.7","3301.1","3485.7","3235.3","3345.8","3426.5","2978.9","2360.1","2039.1","2118.5","1776.2","1562.9","1549.9","1504.2"
"Sao Tome and Principe","59.5","59.1","43.1","29.1","33.0","25.9","26.3","10.3","8.6","5.1","39.7","35.8","39.8","21.5","19.3","20.0"
"Saudi Arabia","851.6","916.9","774.9","694.5","591.8","435.1","448.7","378.6","413.0","405.0","340.5","285.4","275.5","266.0","279.8","277.0"
"Senegal","11.5","13.9","10.8","13.0","15.0","12.9","15.8","18.7","14.2","17.0","14.8","14.0","12.3","9.0","9.4","8.1"
"Serbia","283.4","354.7","375.6","347.7","378.4","332.7","354.8","415.8","333.9","232.2","201.3","186.2","160.8","125.1","74.1","42.7"
"Seychelles","477.0","473.8","459.3","461.8","334.9","328.5","222.2","256.3","348.4","390.3","374.7","365.8","340.5","301.2","283.3","286.8"
"Sierra Leone","9.6","9.5","5.7","4.9","3.5","4.9","3.8","4.1","3.3","3.0","4.5","5.5","6.5","6.2","5.8","4.2"
"Singapore","1182.9","1131.8","1001.6","849.2","744.2","641.6","547.2","475.7","363.3","320.8","284.8","269.2","307.3","235.7","197.1","298.2"
"Slovakia","883.6","1033.0","1016.7","952.3","996.5","931.4","966.2","943.3","713.3","510.2","452.7","0.0","0.0","0.0","0.0","0.0"
"Slovenia","1263.1","1445.5","1442.3","1412.1","1568.1","1473.8","1547.5","1597.4","1283.5","1127.9","1065.4","1005.3","876.5",,,
"Solomon Islands","94.3","104.4","98.0","97.4","68.3","55.0","56.0","70.2","62.4","58.8","65.0","42.4","41.3","45.7","58.2","45.2"
"Somalia",,,,,,,,,,,,,,,,
"South Africa","252.1","273.8","287.2","318.7","325.2","284.8","208.7","188.7","191.5","175.0","145.4","133.5","87.0","56.5","70.8","81.6"
"South Sudan","5.9","8.3","4.7","5.7",,,,,,,,,,,,
"Spain","1672.0","1881.2","1868.2","1869.3","2139.0","2077.8","2197.1","2185.3","1882.5","1614.8","1474.6","1371.1","1164.3",,,
"Sri Lanka","63.3","62.3","57.2","48.2","50.8","43.9","40.8","40.2","35.8","33.4","30.2","26.9","23.3","22.9","21.7","23.4"
"Sudan","47.3","28.0","19.7","25.0","27.2","33.8","43.4","32.6","36.2","24.5","17.6","13.4","8.9","6.9","6.1","5.7"
"Suriname","291.6","267.6","260.6","254.6","212.6","189.2","192.2","165.3","141.0","147.4","83.8","78.5","67.6","68.5","40.3","81.5"
"Sweden","4685.2","5525.9","5606.0","5243.5","5362.7","3633.3","3402.9","3808.7","3537.5","3099.3","2921.6","2886.7","2588.3","2036.0","1776.1",
"Switzerland","6943.9","7083.4","6945.6","6600.4","6714.2","5575.3",,,,,,,,,,
"Syrian Arab Republic",,,,"31.7","36.8","42.0","41.2","40.5","36.3","31.1","31.9","31.3","32.7","29.0","24.2","19.3"
"Tajikistan","17.7","21.9","18.3","15.6","11.7","9.5","7.7","9.8","5.6","3.8","3.3","2.8","1.7","1.5","1.5","1.2"
"Thailand","167.4","169.9","166.6","161.4","154.5","131.2","115.1","118.4","100.0","78.6","60.4","55.7","50.2","45.4","33.2","36.1"
"Republic of North Macedonia","189.2","210.4","202.6","182.1","210.6","198.7","205.0","222.8","177.0","160.1","142.8","136.7","124.6","94.0","2.4","2.3"
"Timor-Leste","44.8","53.7","44.7","41.6","32.9","26.1","21.6","20.4","4.9","10.4","9.6","7.4","6.6","6.1",,
"Togo","10.3","9.0","8.4","9.2","8.4","8.2","5.1","4.4","3.7","3.1","2.7","2.4","2.0","1.5","1.3","1.2"
"Tonga","104.8","117.9","116.3","111.7","115.2","101.9","94.1","94.8","94.3","81.2","67.4","58.6","50.2","47.4","41.4","44.3"
"Trinidad and Tobago","616.3","588.8","577.1","492.9","486.7","452.2","423.3","412.7","349.7","289.4","295.1","206.2","179.7","148.2","131.5","110.5"
"Tunisia","145.3","169.2","170.1","155.7","154.5","135.8","128.9","126.7","109.5","94.8","87.6","86.8","77.6","65.2","60.0","58.9"
"Turkey","355.2","409.1","432.8","415.5","420.7","0.0","402.5","414.8","352.7","287.0","247.2","214.8","170.0","0.0","0.0","0.0"
"Turkmenistan","97.0","118.0","107.4","85.2","71.9","53.3","47.1","40.9","74.0","68.7","73.0","73.1","66.5","45.9","42.8","35.7"
"Tuvalu","422.7","478.5","472.0","468.2","486.2","425.1","315.2","289.4","264.9","241.4","221.3","204.1","247.9","192.2","249.6","356.2"
"Uganda","6.2","8.5","8.8","8.9","8.1","8.4","5.2","6.9","8.6","7.6","6.8","6.9","5.1","5.4","5.0","4.6"
"Ukraine","58.0","86.2","152.5","145.0","122.6","109.5","98.0","125.2","110.0","89.6","68.3","46.7","38.4","27.1","21.9","16.6"
