"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Eritrea","12.9","11.9","7.9","13.9","11.3","10.5","5.3","13.9","13.8","8.7","9.6","17.0","18.0","23.8","19.9","21.1"
"Estonia","1421.9","1338.2","1248.6","1156.4","1075.3","1019.8","1039.8","997.1","839.7","693.6","627.1","554.4","488.6",,,
"Eswatini","406.9","359.3","381.1","347.6","387.8","419.3","326.0","325.6","266.4","234.2","227.9","172.6","171.4","135.1","127.0","125.4"
"Ethiopia","17.6","10.7","15.1","13.6","4.9","10.0","9.5","5.0","10.8","8.0","10.7","7.6","11.6","10.9","10.6","8.8"
"Fiji","208.6","197.6","167.4","159.9","153.3","170.4","165.7","169.9","186.0","184.9","173.1","153.5","142.5","137.2","124.3","150.8"
"Finland","3093.7","3063.1","3061.4","2950.4","2825.5","2650.8","2606.1","2503.0","2282.1","2131.0","2001.5","1894.7","1725.9","1583.2","1449.8","1351.1"
"France","3585.0","3528.7","3411.0","3207.4","3155.6","3041.4","2964.6","2794.4","2691.6","2589.9","2467.1","2342.2","2248.9","0.0","0.0","0.0"
"Gabon","283.3","266.5","311.3","244.0","252.0","236.7","221.0","156.0","189.3","177.8","161.3","197.3","206.9","170.1","181.4","159.7"
"Gambia","53.1","39.1","26.9","37.1","32.7","29.9","37.0","29.1","29.1","26.4","30.5","31.0","22.4","10.6","15.4","10.5"
"Georgia","278.4","200.7","153.2","116.0","100.2","124.2","116.5","91.5","61.3","56.0","50.6","42.9","38.3","32.8","29.5","26.9"
"Germany","4524.9","4385.8","4160.6","3913.4","3821.4","3682.6","3522.8","3000.1","2813.4","2682.4","2542.0","2469.8","2461.4","2366.9","2258.5","2149.9"
"Ghana","87.1","73.7","121.7","97.7","94.7","78.0","70.0","62.2","53.9","47.7","69.8","35.1","38.0","30.8","45.5","32.0"
"Greece","1302.5","1214.5","1340.5","1460.0","1566.2","1862.2","1974.3","1691.7",,,,,,,,
"Grenada","262.5","262.3","260.5","270.1","303.4","304.3","310.0","289.6","300.1","307.2","284.8","227.4","201.3","197.7","157.9","136.2"
"Guatemala","142.2","162.9","155.5","135.3","131.6","133.0","141.8","134.9","125.1","120.0","105.4","109.8","104.1","99.5","98.3","81.0"
"Guinea","9.8","9.1","8.4","8.4","8.3","6.6","4.5","5.6","5.1","4.9","5.4","4.1","7.3","10.8","5.7","4.5"
