"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Ghana","28.7","35.2","43.2","35.3","37.8","37.6","31.0","38.4","32.8","28.0","25.5","21.5","19.2","16.2","14.4","14.0"
"Greece","533.6","631.7","617.9","593.3","727.8","724.0","825.4","1184.2",,,,,,,,
"Grenada","262.5","259.8","254.6","242.7","237.1","235.7","229.3","238.4","212.4","182.7","168.9","147.9","163.9","166.7","161.3","162.6"
"Guatemala","125.1","122.2","114.3","115.7","111.4","102.4","95.7","103.2","97.6","91.5","82.7","73.4","70.0","67.1","62.6","49.5"
"Guinea","13.7","15.0","15.6","14.3","14.0","12.7","12.5","12.1","12.4","8.0","7.8","9.9","9.0","9.0","8.6","9.1"
"Guinea-Bissau","14.7","16.9","17.0","16.0","15.9","15.5","15.7","16.9","13.2","11.8","11.2","10.2","8.5","7.8","7.9","8.1"
"Guyana","74.7","80.9","83.3","77.5","70.7","59.9","50.6","43.6","37.3","28.6","14.6","11.2","10.9","7.3","7.4","7.3"
"Haiti","19.4","21.5","21.1","20.9","19.7","18.2","16.0","15.3","14.8","12.3","11.4","10.9","8.7","10.5","12.0","13.1"
"Honduras","86.8","86.4","89.2","94.0","85.4","78.0","73.3","78.0","64.6","56.8","48.7","42.2","39.0","37.1","35.6","31.7"
"Hungary","259.5","285.1","280.9","282.3","300.1","269.5","247.6","294.4","263.5","223.4","230.6","206.3","180.0","130.2","103.6","85.6"
"Iceland","744.5","805.6","740.1","691.4","715.0","667.7","607.8","768.4","956.7","829.6","896.4","780.4","668.4","569.5","494.2","556.8"
"India","41.2","38.3","38.8","30.9","30.3","29.5","25.6","26.3","25.5","21.4","20.3","18.2","16.2","14.9","14.7","13.3"
"Indonesia","54.0","56.5","59.8","64.6","66.9","59.7","31.2","29.7","28.2","24.1","19.2","12.2","12.0","9.0","7.0","7.1"
"Iran (Islamic Republic of)","145.2","161.5","211.3","285.4","301.8","261.9","205.9","166.1","130.9","102.3","97.2","79.8","62.4","57.3","55.5","47.8"
"Iraq","118.1","115.9","113.9","110.5","41.1","38.0","36.5","27.9","29.7","19.0","16.2","15.5","15.4",,,
"Ireland","721.4","850.1","811.7","563.9","631.0","707.5","696.1","666.2","561.5","577.2","533.5","424.8","381.9","229.2","194.0","189.1"
"Israel","671.6","658.2","603.9","555.4","572.4","526.6","513.8","539.6","474.6","401.8","465.1","422.7","405.8","386.3","467.6","441.4"
"Italy","616.6","706.2","695.4","677.6","746.2","660.6","686.9","744.7","664.5","603.3","578.3","584.8","511.9","423.2","388.0","402.4"
"Jamaica","69.8","72.0","74.3","73.8","87.5","76.8","69.4","87.5","76.4","52.6","54.3","49.4","50.7","46.1","68.0","56.7"
"Japan","488.9","527.6","550.7","676.1","667.5","591.6","558.7","489.7","430.1","452.3","451.9","477.1","446.2","384.2","391.4","436.2"
"Jordan","64.7","63.0","65.0","66.8","66.4","67.5","75.4","94.7","82.7","80.1","78.2","75.7","72.4","69.1","65.7","62.5"
"Kazakhstan","147.1","169.8","171.0","152.3","120.3","117.6","104.2","113.8","91.3","72.2","56.1","45.8","33.6","27.1","21.8","24.5"
"Kenya","23.4","23.5","21.8","21.7","18.6","17.9","18.1","17.8","16.2","13.7","10.1","9.0","8.7","9.8","10.0","9.9"
"Kiribati","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.2","0.1","0.1","0.1","0.1","0.1"
"Kuwait","168.1","174.7","174.4","178.8","157.8","147.8","170.1","211.8","188.3","165.3","153.4","136.8","126.9","119.7","103.6","103.3"
"Kyrgyzstan","44.4","53.7","49.0","43.4","34.8","26.5","23.4","31.0","21.8","18.0","15.4","12.7","11.4","7.6","7.0","6.3"
"Lao People's Democratic Republic","24.0","23.6","21.5","16.0","14.5","12.6","10.5","8.5","8.8","13.6","12.7","11.7","9.8","6.5","6.5","6.4"
"Latvia","326.3","476.7","442.8","404.3","368.6","361.8","410.6","488.0","454.2","282.7","263.9","229.7","195.6","161.6","143.1","123.3"
"Lebanon","206.9","207.4","224.4","234.1","286.0","287.4","264.3","248.4","229.2","210.1","192.6","214.2","239.6","268.6","299.3","329.2"
"Lesotho","15.3","17.5","18.2","21.2","22.8","20.6","16.3","15.7","16.0","14.7","14.5","13.3","10.8","7.3","8.5","10.1"
"Liberia","13.6","14.2","13.1","12.9","12.4","10.8","10.0","10.7","9.4","6.4","7.3","6.5","1.9","2.0","2.2","3.3"
"Libya",,,,,"114.6","120.2","110.7","103.7","92.2","81.4","75.0","69.1","64.1","59.9","115.7","125.5"
