"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Niue","16.3","19.0","18.7","18.9","18.2","16.0","13.0","13.1","12.4","10.7","10.0","8.8","7.7","6.5","5.2","4.9"
"Norway","1065.3","1311.1","1348.7","1327.6","1353.7","1182.6","1113.9","1216.2","1108.3","969.5","933.4","854.4","769.0","654.5","525.5","529.1"
"Oman","40.5","41.7","42.3","58.9","58.0","55.1","54.6","55.3","43.2","38.2","33.8","33.6","30.4","27.9","29.4","31.0"
"Pakistan","25.3","24.3","20.6","18.3","19.1","18.7","18.3","19.7","21.6","20.4","14.7","10.7","9.8","8.6","8.4","9.9"
"Palau","199.9","195.2","188.9","176.4","174.2","173.9","170.6","160.6","155.4","147.0","133.5","119.3","114.7","112.5","107.9","109.2"
"Panama","281.0","269.4","255.3","240.3","188.2","164.4","150.9","138.3","120.1","104.9","98.2","94.5","85.1","85.3","80.2","78.3"
"Papua New Guinea","4.5","4.2","5.5","6.8","6.9","5.2","4.0","3.2","2.7","2.5","2.3","2.2","2.0","1.8","1.6","1.8"
"Paraguay","117.2","133.6","124.1","112.3","114.6","92.3","73.0","88.1","61.8","47.0","38.0","35.6","28.4","27.5","37.3","40.7"
"Peru","99.8","102.6","110.5","117.8","105.1","94.5","84.0","83.2","68.0","55.6","42.7","39.4","32.6","35.4","35.0","34.6"
"Philippines","67.9","66.0","70.9","65.9","58.3","50.4","44.2","44.4","36.7","29.7","24.3","16.3","15.4","13.1","12.6","13.5"
"Poland","185.2","207.2","207.6","197.8","207.5","191.9","185.0","218.1","173.8","142.1","129.2","115.4","93.6","83.5","82.0","74.1"
"Portugal","476.1","550.4","528.4","540.6","580.6","543.4","561.0","599.5","530.6","455.6","413.4","386.8","326.7","249.4","241.8","241.6"
"Qatar","126.4","118.8","126.1","168.5","232.2","235.6","256.1","249.3","247.6","247.9","246.2","238.6","223.5","202.7","180.4","180.9"
"Republic of Korea","740.5","740.2","677.9","622.2","590.2","535.9","436.1","461.7","510.6","453.4","385.4","310.1","277.4","222.7","197.9","206.8"
"Republic of Moldova","86.1","88.5","98.6","94.4","96.3","80.2","95.0","89.9","61.1","46.5","33.9","24.7","18.6","15.8","13.2","10.1"
"Romania","94.1","102.2","99.9","90.1","103.6","92.7","93.4","94.8","73.0","58.2","47.1","46.4","21.7","17.2","14.9","13.6"
"Russian Federation","190.8","265.9","282.5","253.8","234.1","200.4","178.7","192.4","145.3","109.8","86.9","70.7","54.8","43.9","36.4","28.8"
"Rwanda","14.7","14.6","14.3","14.2","13.4","12.3","11.7","11.1","8.9","7.5","6.0","4.3","2.9","2.1","2.2","2.5"
"Saint Kitts and Nevis","513.7","502.0","471.7","444.4","460.9","432.4","444.6","455.3","416.3","391.5","312.5","290.1","271.4","274.7","263.0","244.7"
"Saint Lucia","233.0","237.0","324.1","304.4","316.1","288.8","252.2","263.0","257.6","205.0","188.6","174.6","155.2","139.3","130.5","129.4"
"Saint Vincent and the Grenadines","60.9","61.9","59.2","55.5","55.7","53.0","49.4","47.8","43.9","39.2","35.5","33.6","31.1","29.9","27.6","24.3"
"Samoa","25.6","28.5","28.5","28.5","27.0","24.3","22.5","23.2","20.0","17.7","16.5","14.1","12.3","10.1","8.2","7.5"
"San Marino","594.4","705.5","711.8","678.2","748.2","703.5","792.4","840.6","744.1","667.9","652.7","663.0","580.7","552.3","524.8","543.3"
"Sao Tome and Principe","18.7","19.1","18.3","15.9","17.1","16.2","18.4","20.2","21.9","23.7","27.8","26.0","23.6","21.9","21.3","14.7"
"Saudi Arabia","178.9","168.8","159.9","154.2","137.8","133.1","126.7","115.3","98.2","85.4","77.5","72.5","68.3","67.9","69.5","71.0"
"Senegal","15.9","18.7","18.4","17.8","18.7","17.5","18.3","20.1","17.8","14.2","14.2","23.1","19.1","14.4","12.5","11.9"
"Serbia","199.4","243.2","237.6","198.3","225.4","198.5","202.4","236.2","189.9","122.0","91.7","74.9","57.5","41.3","31.6","19.3"
"Seychelles","12.2","10.8","10.9","12.4","18.8","15.6","14.0","17.6","21.7","24.5","28.7","33.7","40.4","47.0","51.8","62.5"
"Sierra Leone","40.8","48.9","51.7","34.1","28.9","20.5","24.6","25.5","22.0","19.1","17.8","16.5","17.1","16.3","14.9","8.1"
"Singapore","719.4","723.9","749.3","686.8","659.1","616.6","564.5","592.4","525.8","461.9","431.6","423.0","401.7","399.4","392.9","395.4"
"Slovakia","204.4","231.9","319.5","306.6","318.4","295.3","294.7","263.1","281.7","193.8","142.0","108.6","42.1","28.0","23.1","22.1"
"Slovenia","221.9","267.4","255.9","246.1","261.6","254.7","270.5","274.4","244.5","189.2","188.7","166.4","150.0",,,
"Solomon Islands","5.0","5.6","5.6","5.1","4.7","4.3","4.0","4.1","3.8","3.6","3.2","2.9","1.6","1.8","2.3","2.3"
"Somalia",,,,,,,,,,,,,,,,
"South Africa","36.2","40.3","42.5","47.1","50.2","45.9","38.2","37.8","42.6","42.7","43.7","41.5","34.2","23.7","28.0","33.5"
"South Sudan","17.2","16.3","16.3","16.3",,,,,,,,,,,,
"Spain","570.3","661.2","628.8","590.5","611.1","576.1","568.0","623.7","544.3","473.9","450.6","427.7","368.6","287.6","259.5","243.9"
"Sri Lanka","45.3","38.3","34.9","32.0","35.8","32.1","29.7","26.1","18.4","14.9","12.9","11.6","8.8","9.6","9.4","9.7"
"Sudan","96.0","74.3","89.4","62.4","78.6","63.7","55.4","63.7","58.0","37.6","24.6","20.3","17.1","12.4","11.4","10.4"
"Suriname","58.6","66.4","62.9","61.5","56.4","53.8","49.3","49.7","38.3","37.4","42.4","38.4","35.6","34.1","24.4","25.9"
"Sweden","850.7","1028.1","1044.5","966.4","960.8","751.7","701.9","787.3","732.3","645.4","611.5","588.4","513.4","417.1","371.6","314.3"
