"Country"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Kyrgyzstan","138.2","140.7","123.5","107.8","90.5","82.3","73.7","86.1","74.0","73.5","68.1","60.7","57.1","41.9","39.8","37.3"
"Lao People's Democratic Republic","79.3","75.4","66.0","54.2","47.9","72.5","67.1","58.5","63.1","76.5","80.5","77.7","70.0","51.4","50.5","37.9"
"Latvia","607.6","524.6","487.4","454.4","399.3","425.9","410.3","429.8","432.1","346.3","355.2","328.3","302.2","291.5","266.4","213.7"
"Lebanon","537.4","541.8","583.3","609.2","710.5","707.1","641.2","651.7","626.6","571.5","509.1","532.8","563.2","621.4","708.4","743.6"
"Lesotho","42.3","42.2","42.0","44.3","43.4","46.2","41.4","41.8","40.9","35.3","34.2","33.1","35.3","39.3","39.9","41.9"
"Liberia","27.7","29.0","27.0","27.0","27.3","25.3","24.8","25.7","23.3","16.9","19.3","18.2","5.9","7.4","7.7","11.2"
"Libya","No data","No data","No data","No data","230.0","287.2","301.7","181.3","204.2","209.6","213.4","237.3","285.7","282.0","368.3","357.2"
"Lithuania","634.4","574.7","550.0","503.0","425.5","381.6","365.1","373.3","315.7","309.8","269.1","238.7","180.1","165.1","152.8","134.8"
"Luxembourg","1105.3","1089.5","1066.7","992.5","944.5","900.0","866.8","765.8","806.9","906.8","833.7","783.2","721.6","685.1","623.5","586.6"
"Madagascar","21.6","22.0","22.8","22.1","25.1","31.7","31.2","30.2","30.3","29.2","28.9","27.4","26.7","24.6","26.6","26.7"
"Malawi","19.0","13.4","11.7","12.0","11.0","11.2","15.9","16.0","13.9","9.9","5.9","5.3","6.0","4.3","4.0","4.3"
"Malaysia","509.5","459.5","417.0","392.9","362.5","331.1","309.4","299.0","310.6","281.6","258.4","245.6","224.2","192.6","179.5","169.9"
"Maldives","272.6","372.2","389.8","394.3","455.9","435.4","407.1","480.6","449.5","413.4","405.0","393.2","282.9","274.2","268.6","146.1"
"Mali","55.8","54.5","57.9","51.5","52.3","56.8","58.0","56.2","53.5","49.5","45.7","43.2","45.4","42.0","41.0","43.9"
"Malta","1365.1","1240.1","902.1","877.9","873.0","812.6","744.5","738.7","681.6","650.8","601.4","527.9","502.3","450.0","401.5","329.4"
"Marshall Islands","114.2","109.1","102.8","101.6","102.4","98.9","92.4","93.9","89.4","82.3","78.4","73.8","69.5","66.8","64.2","60.1"
"Mauritania","92.5","83.9","71.5","70.8","67.8","71.0","80.9","79.7","80.7","77.1","83.0","81.9","83.3","82.4","82.1","79.0"
"Mauritius","565.5","538.0","469.8","398.3","392.4","386.8","379.1","364.9","277.4","249.3","221.6","176.6","164.2","152.2","133.1","125.7"
"Mexico","482.5","475.4","473.0","471.1","445.4","455.9","463.3","448.5","453.6","434.5","417.0","387.4","372.6","No data","No data","No data"
