"Country"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"France","308.7","309.8","307.1","301.3","303.0","291.5","288.4","277.9","254.6","244.6","231.0","215.4","210.6","205.3","197.5","182.9"
"Gabon","124.6","125.2","138.7","111.6","112.7","95.0","224.7","179.0","204.2","200.8","207.3","229.7","242.1","238.2","233.1","204.1"
"Gambia","23.2","22.7","20.6","20.6","20.1","19.5","19.0","18.5","17.1","15.8","14.0","12.3","14.0","15.5","15.0","15.8"
"Georgia","411.4","479.1","462.3","459.6","431.0","424.9","380.7","330.6","313.7","282.0","269.7","235.9","212.5","176.4","148.3","138.8"
"Germany","671.1","663.0","653.4","655.3","637.0","613.7","580.7","549.9","525.6","503.1","472.4","454.4","398.3","370.3","342.3","325.5"
"Ghana","90.0","103.2","93.7","80.1","81.7","85.8","80.2","85.7","75.8","73.4","115.7","108.1","103.4","100.4","97.8","95.4"
"Greece","781.7","771.1","737.9","674.3","734.1","758.6","844.5","1141.8",,,,,,,,
"Grenada","386.4","384.5","373.0","360.1","359.1","350.4","338.4","349.3","329.1","282.1","264.8","230.2","253.3","252.3","241.4","243.1"
"Guatemala","247.5","249.4","240.1","246.5","239.3","238.5","234.5","240.6","247.9","240.3","222.1","210.1","206.7","199.7","196.2","144.0"
"Guinea","31.2","34.1","36.8","35.8","37.0","33.8","33.1","32.6","34.2","29.6","27.5","26.3","24.1","27.3","25.3","24.1"
"Guinea-Bissau","37.3","38.6","40.1","38.2","34.1","38.9","29.7","37.7","34.8","34.4","31.3","29.3","25.9","26.4","28.1","29.5"
"Guyana","136.2","145.8","146.1","133.3","126.0","113.1","101.0","88.0","79.9","66.7","55.5","44.1","42.9","29.4","29.9","27.5"
"Haiti","43.6","45.7","44.2","44.4","41.7","39.9","37.8","35.4","35.7","34.2","35.3","36.6","38.2","39.5","41.0","42.1"
"Honduras","173.6","173.9","180.5","181.8","162.9","157.1","152.7","173.6","151.8","138.6","121.1","105.6","96.2","89.9","84.2","76.0"
"Hungary","555.2","515.3","503.3","505.9","485.5","444.2","392.8","386.7","360.4","357.3","351.6","325.7","330.5","284.1","260.2","219.2"
"Iceland","700.4","680.6","660.5","631.4","613.5","615.4","616.9","590.1","570.0","572.6","589.1","587.1","553.0","573.0","546.7","516.3"
"India","154.7","137.9","136.2","103.1","93.6","94.9","94.1","91.2","89.5","83.3","79.4","73.9","69.5","67.9","66.5","57.8"
"Indonesia","178.4","170.7","164.7","165.0","162.6","158.3","107.8","103.1","106.8","99.1","92.6","59.8","59.7","50.3","44.9","41.9"
"Iran (Islamic Republic of)","500.4","515.9","528.3","623.9","688.0","713.4","609.8","479.3","431.9","393.2","403.2","368.4","321.7","276.1","301.6","271.1"
"Iraq","367.9","272.9","256.7","247.4","93.0","105.1","100.4","76.7","103.6","87.3","85.0","103.1","99.3",,,
"Ireland","809.0","785.9","754.3","533.2","545.9","630.0","556.6","481.6","427.7","470.1","424.1","345.1","336.6","248.0","224.2","217.4"
"Israel","687.0","612.2","568.4","541.5","519.2","495.5","509.8","500.7","524.2","472.7","561.5","536.1","509.5","528.6","574.5","523.0"
"Italy","765.0","724.8","711.1","705.4","707.5","646.3","641.9","648.7","599.0","584.2","543.8","552.7","543.6","546.1","532.5","541.9"
"Jamaica","121.2","125.8","123.3","115.7","138.9","128.3","126.7","146.6","135.6","96.2","99.2","95.8","102.0","85.0","129.4","105.8"
